first_name,second_name,actual,predicted,element_type,diff
Robert,Snodgrass,29,29.101551,3,0.10155105590820312
Mark,Noble,21,21.012634,3,0.01263427734375
Cheikhou,KouyatÃ©,29,29.106907,3,0.10690689086914062
Pedro,Obiang,20,20.011349,3,0.011348724365234375
Manuel,Lanzini,0,0.009690881,3,0.00969088077545166
Michail,Antonio,31,31.002901,3,0.0029010772705078125
Edimilson,Fernandes,0,0.010249257,3,0.01024925708770752
Andy,Carroll,1,1.020134,4,0.02013397216796875
Joe,Hart,58,58.02008,1,0.02008056640625
Javier,HernÃ¡ndez BalcÃ¡zar,34,34.052185,4,0.05218505859375
Declan,Rice,26,26.93943,2,0.9394302368164062
Domingos,Quina,1,1.0048585,3,0.004858493804931641
Reece,Oxford,0,0.010249257,2,0.01024925708770752
Jordan,Hugill,0,0.010249257,4,0.01024925708770752
Grady,Diangana,13,13.003033,3,0.003032684326171875
